Tabla: clients
dni	nom	telefon	adreca
01020966H	Norman	+34 649280557	991-2991 Morbi St.
01341585O	Nola	+34 631398981	708-6166 Sem Rd.
02078887V	Ahmed	+34 612378395	557-9800 Cursus Avenue
02727727Q	Kalia	+34 976226278	Ap #112-1852 Arcu. Avenue
02727897G	Craig	+34 655024239	Ap #354-339 Convallis Avenue
03037337F	Harding	+34 630645359	Ap #604-1042 Libero Ave
03357905E	Gregory	+34 675538162	P.O. Box 101, 1783 Sit Av.
04538632M	Damon	+34 622651505	Ap #131-4383 Felis Street
04816467S	Mollie	+34 952635225	189-1874 Integer St.
05117351D	Scott	+34 628318658	Ap #139-2509 Mauris. Ave
06456511P	Ignatius	+34 977362215	P.O. Box 547, 5431 Vulputate Ave
06458825O	Gregory	+34 643904411	Ap #259-4614 Ac Avenue
06672177J	Jenette	+34 976456654	530-4874 Ultrices Road
06778953B	Jemima	+34 605615577	Ap #854-3958 Eleifend. Road
07439678M	Wynter	+34 650474516	5214 Pharetra. Rd.
08487121W	Yeo	+34 912558377	Ap #789-9452 Ut Street
09687548T	Germaine	+34 658787232	Ap #354-1877 Pellentesque Avenue
10198895E	Meredith	+34 961526716	715-3149 Sem St.
10682180G	Venus	+34 625641009	7779 Eget Rd.
10716170S	Sara	+34 621068464	514-4680 Ante Rd.
10849789D	Malik	+34 688512817	4153 Est. St.
11085445I	Yvette	+34 676506687	263-9965 Lacus. St.
11286161G	Erasmus	+34 914986328	8745 Nec, Rd.
11407436U	Lana	+34 962698313	928-5078 Mattis. Rd.
11501787T	Berk	+34 914777342	Ap #925-3760 Aliquet, St.
11768668T	Colleen	+34 635413065	4789 Nisl Road
12349242U	Amity	+34 643872891	Ap #602-1337 Urna Rd.
12589795L	Lana	+34 975231519	Ap #740-3872 Enim St.
13120475M	Nina	+34 686226794	191-6230 Arcu Av.
13672461S	Fuller	+34 956975384	Ap #882-4079 Risus Ave
13787713Y	Carlos	+34 691416945	160-5197 Nec Rd.
14111285R	Eric	+34 985371888	5112 Tempor Ave
14142634Z	Gavin	+34 618673536	954-1678 Sodales St.
14716443E	Vielka	+34 921621117	206-9629 Ac Road
14726168I	Alisa	+34 649611234	P.O. Box 132, 3919 Sed Ave
14824069G	Heidi	+34 623400761	9255 Sed Avenue
14877126M	Bernard	+34 638471721	Ap #955-9709 Varius Road
14998757S	Ryder	+34 910708754	P.O. Box 255, 5807 Augue, Street
15184503W	Zoe	+34 949022431	Ap #487-2016 Torquent St.
15528542B	Boris	+34 682225281	169-359 Est, Rd.
